"zcta","City","population","ZIP_CODE","PO_NAME","STATE"
"73960","Texhoma",35,"73960","Texhoma","TX"
"75001","Addison",16528,"75001","Addison","TX"
"75002","Allen",69939,"75002","Allen","TX"
"75006","Carrollton",47811,"75011","Carrollton","TX"
"75006","Carrollton",47811,"75006","Carrollton","TX"
"75007","Carrollton",53960,"75007","Carrollton","TX"
"75009","Celina",21276,"75097","Weston","TX"
"75009","Celina",21276,"75009","Celina","TX"
"75010","Carrollton",33186,"75010","Carrollton","TX"
"75013","Allen",48360,"75013","Allen","TX"
"75019","Coppell",44897,"75019","Coppell","TX"
"75019","Coppell",44897,"75099","Coppell","TX"
"75020","Denison",23782,"75020","Denison","TX"
"75021","Denison",8288,"75021","Denison","TX"
"75022","Flower Mound",26781,"75022","Flower Mound","TX"
"75023","Plano",46777,"75023","Plano","TX"
"75023","Plano",46777,"75086","Plano","TX"
"75023","Plano",46777,"75026","Plano","TX"
"75024","Plano",45469,"75024","Plano","TX"
"75025","Plano",53161,"75025","Plano","TX"
"75028","Flower Mound",46830,"75028","Flower Mound","TX"
"75028","Flower Mound",46830,"75027","Flower Mound","TX"
"75032","Rockwall",34590,"75032","Rockwall","TX"
"75033","Frisco",45347,"75033","Frisco","TX"
"75034","Frisco",47734,"75034","Frisco","TX"
"75035","Frisco",82596,"75035","Frisco","TX"
"75036","Frisco",35148,"75036","Frisco","TX"
"75038","Irving",32928,"75016","Irving","TX"
"75038","Irving",32928,"75038","Irving","TX"
"75039","Irving",24569,"75014","Irving","TX"
"75039","Irving",24569,"75039","Irving","TX"
"75040","Garland",64035,"75040","Garland","TX"
"75040","Garland",64035,"75046","Garland","TX"
"75041","Garland",32219,"75041","Garland","TX"
"75041","Garland",32219,"75047","Garland","TX"
"75042","Garland",39148,"75042","Garland","TX"
"75043","Garland",63973,"75043","Garland","TX"
"75043","Garland",63973,"75049","Garland","TX"
"75044","Garland",46094,"75044","Garland","TX"
"75044","Garland",46094,"75045","Garland","TX"
"75048","Sachse",27818,"75048","Sachse","TX"
"75050","Grand Prairie",43531,"75050","Grand Prairie","TX"
"75051","Grand Prairie",40243,"75051","Grand Prairie","TX"
"75051","Grand Prairie",40243,"75053","Grand Prairie","TX"
"75052","Grand Prairie",96225,"75052","Grand Prairie","TX"
"75054","Grand Prairie",15646,"75054","Grand Prairie","TX"
"75056","The Colony",67570,"75056","The Colony","TX"
"75057","Lewisville",16001,"75057","Lewisville","TX"
"75058","Gunter",3799,"75058","Gunter","TX"
"75060","Irving",47955,"75060","Irving","TX"
"75061","Irving",55828,"75061","Irving","TX"
"75061","Irving",55828,"75064","Irving","TX"
"75061","Irving",55828,"75017","Irving","TX"
"75061","Irving",55828,"75015","Irving","TX"
"75061","Irving",55828,"75059","Irving","TX"
"75062","Irving",50466,"75062","Irving","TX"
"75063","Irving",46598,"75063","Irving","TX"
"75063","Irving",46598,"75368","Dallas","TX"
"75065","Lake Dallas",12770,"75065","Lake Dallas","TX"
"75067","Lewisville",68734,"75067","Lewisville","TX"
"75067","Lewisville",68734,"75029","Lewisville","TX"
"75068","Little Elm",66248,"75068","Little Elm","TX"
"75069","Mckinney",39084,"75069","McKinney","TX"
"75070","Mckinney",57712,"75070","McKinney","TX"
"75071","Mckinney",64449,"75071","McKinney","TX"
"75072","Mckinney",55538,"75072","McKinney","TX"
"75074","Plano",53003,"75074","Plano","TX"
"75075","Plano",36600,"75075","Plano","TX"
"75076","Pottsboro",8057,"75076","Pottsboro","TX"
"75077","Lewisville",38073,"75077","Lewisville","TX"
"75078","Prosper",38980,"75078","Prosper","TX"
"75080","Richardson",53633,"75080","Richardson","TX"
"75080","Richardson",53633,"75083","Richardson","TX"
"75081","Richardson",37766,"75085","Richardson","TX"
"75081","Richardson",37766,"75081","Richardson","TX"
"75082","Richardson",28063,"75082","Richardson","TX"
"75087","Rockwall",40460,"75087","Rockwall","TX"
"75088","Rowlett",26899,"75088","Rowlett","TX"
"75088","Rowlett",26899,"75030","Rowlett","TX"
"75089","Rowlett",34608,"75089","Rowlett","TX"
"75090","Sherman",25002,"75090","Sherman","TX"
"75090","Sherman",25002,"75091","Sherman","TX"
"75092","Sherman",27186,"75092","Sherman","TX"
"75093","Plano",48081,"75093","Plano","TX"
"75094","Plano",23864,"75094","Plano","TX"
"75098","Wylie",67212,"75098","Wylie","TX"
"75101","Bardwell",633,"75101","Bardwell","TX"
"75102","Barry",1501,"75102","Barry","TX"
"75103","Canton",15162,"75103","Canton","TX"
"75104","Cedar Hill",49749,"75106","Cedar Hill","TX"
"75104","Cedar Hill",49749,"75104","Cedar Hill","TX"
"75105","Chatfield",307,"75105","Chatfield","TX"
"75109","Corsicana",4766,"75109","Corsicana","TX"
"75110","Corsicana",30336,"75151","Corsicana","TX"
"75110","Corsicana",30336,"75110","Corsicana","TX"
"75114","Crandall",6347,"75114","Crandall","TX"
"75115","Desoto",56164,"75123","Desoto","TX"
"75115","Desoto",56164,"75115","Desoto","TX"
"75116","Duncanville",20656,"75116","Duncanville","TX"
"75117","Edgewood",4170,"75117","Edgewood","TX"
"75119","Ennis",28973,"75119","Ennis","TX"
"75119","Ennis",28973,"75120","Ennis","TX"
"75124","Eustace",5093,"75124","Eustace","TX"
"75125","Ferris",7545,"75125","Ferris","TX"
"75126","Forney",64573,"75126","Forney","TX"
"75127","Fruitvale",1644,"75127","Fruitvale","TX"
