"population","location"
275,"Bayside"
83701,"Baytown"
475,"Bayview"
3221,"Beach City"
397,"Bear Creek"
1787,"Bear Creek Ranch"
608,"Beasley"
115282,"Beaumont"
1064,"Beauxart Gardens"
910,"Beaver Creek"
722,"Beckville"
49928,"Bedford"
361,"Bedias"
9144,"Bee Cave"
13669,"Beeville"
17202,"Bellaire"
289,"Bellevue"
10494,"Bellmead"
1521,"Bells"
4206,"Bellville"
6170,"Belterra"
23054,"Belton"
117,"Ben Arnold"
1183,"Benavides"
1662,"Ben Bolt"
24520,"Benbrook"
196,"Benjamin"
29,"Benjamin Perez"
456,"Ben Wheeler"
824,"Berryville"
1616,"Bertram"
1878,"Beverly Hills"
1089,"Bevil Oaks"
480,"Bigfoot"
2965,"Big Lake"
1231,"Big Sandy"
26144,"Big Spring"
514,"Big Thicket Lake Estates"
483,"Big Wells"
3174,"Bishop"
211,"Bishop Hills"
153,"Bivins"
352,"Bixby"
258,"Blackwell"
1682,"Blanco"
369,"Blanket"
56,"Bledsoe"
856,"Blessing"
321,"Bloomburg"
857,"Blooming Grove"
2082,"Bloomington"
1402,"Blossom"
844,"Blue Berry Hill"
2393,"Blue Mound"
1180,"Blue Ridge"
491,"Bluetown"
151,"Bluff Dale"
383,"Blum"
17850,"Boerne"
2121,"Mason"
569,"Matador"
313,"Matagorda"
4333,"Mathis"
977,"Maud"
2983,"Mauriceville"
277,"May"
939,"Maypearl"
601,"Meadow"
1907,"Meadowlakes"
4767,"Meadows Place"
3953,"Medina"
174,"Megargel"
13901,"Melissa"
123,"Melvin"
2048,"Memphis"
1348,"Menard"
22,"Mentone"
16258,"Mercedes"
1396,"Meridian"
2471,"Merkel"
144,"Mertens"
747,"Mertzon"
150108,"Mesquite"
6893,"Mexia"
539,"Miami"
356,"Midfield"
132524,"Midland"
35125,"Midlothian"
173,"Midway"
4232,"Midway North"
2307,"Midway South"
132,"Miguel Barrera"
942,"Mikes"
6162,"Mila Doce"
1355,"Milam"
390,"Milano"
399,"Mildred"
875,"Miles"
722,"Milford"
42,"Martinez"
71,"Miller's Cove"
370,"Millsap"
4823,"Mineola"
14820,"Mineral Wells"
223,"Mingus"
409,"Mi Ranchito Estate"
222,"Mirando City"
85778,"Mission"
36914,"Mission Bend"
74259,"Missouri City"
87,"Mobeetie"
142,"Mobile City"
7836,"Monahans"
261,"Montague"
7654,"Mont Belvieu"
1930,"Monte Alto"
1948,"Montgomery"
1074,"Bogata"
930,"Boling"
2769,"Bolivar Peninsula"
61,"Bonanza Hills"
10408,"Bonham"
180,"Bonney"
1437,"Booker"
12551,"Borger"
149,"Botines"
1699,"Bovina"
5448,"Bowie"
29,"Box Canyon"
1416,"Boyd"
173,"Boys Ranch"
1341,"Brackettville"
5118,"Brady"
2866,"Brazoria"
112,"Brazos"
514,"Brazos Country"
5187,"Breckenridge"
858,"Bremond"
17369,"Brenham"
7035,"Briar"
2062,"Briarcliff"
507,"Briaroaks"
9546,"Bridge City"
5923,"Bridgeport"
101,"Briggs"
714,"Bristol"
184,"Broaddus"
933,"Bronte"
5066,"Brookshire"
1548,"Brookside Village"
91,"Brookston"
160,"Browndell"
8936,"Brownfield"
1212,"Brownsboro"
186738,"Brownsville"
18862,"Brownwood"
1413,"Bruceville-Eddy"
12,"Brundage"
251,"Bruni"
22519,"Brushy Creek"
83980,"Bryan"
430,"Bryson"
1508,"Buchanan Dam"
720,"Buchanan Lake Village"
365,"Buckholts"
15108,"Buda"
93,"Buena Vista"
1767,"Buffalo"
543,"Buffalo Gap"
468,"Buffalo Springs"
3318,"Bullard"
5692,"Bulverde"
2137,"Buna"
3822,"Bunker Hill Village"
10939,"Burkburnett"
691,"Burke"
610,"Moore"
160,"Moore Station"
229,"Moraida"
46,"Morales-Sanchez"
226,"Moran"
454,"Morgan"
573,"Morgan Farm"
273,"Morgan's Point"
4636,"Morgan's Point Resort"
522,"Morning Glory"
157,"Morse"
1690,"Morton"
48,"Mosheim"
854,"Moulton"
174,"Mound"
622,"Mountain City"
282,"Mount Calm"
505,"Mount Enterprise"
16047,"Mount Pleasant"
2491,"Mount Vernon"
1536,"Muenster"
5160,"Muleshoe"
130,"Mullin"
1246,"Munday"
1593,"Muniz"
516,"Murchison"
9158,"Murillo"
21013,"Murphy"
0,"Mustang"
944,"Mustang Ridge"
202,"Myra"
954,"Myrtle Springs"
32147,"Nacogdoches"
231,"Nada"
1387,"Naples"
32,"Narciso Pena"
3814,"Nash"
5347,"Nassau Bay"
1202,"Natalia"
232,"Navarro"
7643,"Navasota"
1376,"Moody"
310,"Nazareth"
266,"Neches"
18856,"Nederland"
3089,"Needville"
273,"Nesbitt"
18,"Netos"
1314,"Nevada"
1096,"Newark"
656,"New Berlin"
4612,"New Boston"
90403,"New Braunfels"
